Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Market_Cap_2020,Qualifies
NCLH,25.639999389648438,132.16993894344887,33329063.492063493,-56.41679654663242,11672801740.09288,True
CCL,21.790000915527344,121.28319599271215,45605743.65079365,-57.03699480588599,25440720526.625755,True
TRGP,23.697004318237305,114.46665109643448,3678410.714285714,-32.6312551418327,5086764918.054619,True
RCL,72.4764175415039,113.88494893953072,12539242.063492063,-44.68468983610773,19765259227.656464,True
OXY,16.876750946044922,109.78946521977815,30633211.111111112,-56.57332482495644,16627151124.062828,True
FANG,39.88816833496094,103.54750443162142,3565738.888888889,-44.905224781985495,11428981923.51004,True
DVN,12.455528259277344,96.84463506899363,9977562.301587302,-33.52617031096388,7813352877.044678,True
MGM,31.17053985595703,95.4053231972932,18814949.603174604,-6.618102842974481,8525343388.88092,True
OKE,28.48361587524414,93.79618603923971,5374699.206349206,-43.86038976637521,17922789966.16979,True
HAL,17.472929000854492,93.35823387690691,19246465.476190478,-20.98893559253035,14705682001.759853,True
SPG,64.36873626708984,91.95167794442645,6058696.031746032,-37.97214424062012,21013950241.35086,True
TSLA,231.5933380126953,89.63807916108536,226229315.47619048,707.3955441692112,770237562512.1317,True
BA,216.6699981689453,87.74597852040485,28484836.111111112,-34.60964777764576,169668047820.3437,True
WYNN,110.22351837158203,86.26160804924359,4768915.079365079,-20.367970844102263,11460432896.23217,True
VTR,40.79649353027344,84.61100530774618,3557102.380952381,-8.829615211755952,19163452115.27307,True
MPC,36.47098159790039,83.72844631531045,8683054.365079366,-28.97318994221663,10963267479.892239,True
DRI,99.64260864257812,82.91232032853004,2657078.9682539683,5.840905357551385,11472775127.507355,True
TPR,27.77944564819336,82.22580193999471,5587233.333333333,18.429516799231873,5685056662.60025,True
VLO,47.27121353149414,80.37970125054495,4998653.571428572,-36.52334815734882,14418171047.21159,True
SLB,19.654386520385742,77.7448857514467,15750776.587301588,-43.642300503253956,29362152554.229668,True
CFG,28.61664581298828,76.45297421115372,5500743.650793651,-7.988392210522946,12290454209.416435,True
KEY,12.777676582336426,76.16558674821451,10986365.873015873,-15.418500673104694,13875387227.679777,True
WELL,55.83021545410156,75.17221213502926,3410309.126984127,-16.565642814639332,38317842512.88188,True
EOG,39.72370147705078,74.92733415912947,5505530.158730159,-38.067495904305446,21554019127.776375,True
FITB,22.662879943847656,73.77317961771126,6857104.365079365,-7.264724122552951,14981289965.35363,True
COP,33.41789245605469,72.7868398973946,9560083.333333334,-36.42409540065128,41295099584.4841,True
COF,89.47676086425781,72.57204807181314,3831630.9523809524,-4.263987493476662,56883383747.957535,True
APTV,130.7899932861328,72.07763036859701,2014355.1587301588,36.14644905034889,28261024713.961533,True
FCX,24.829925537109375,71.95276743267696,23312412.698412698,101.73035498985037,35654051364.25232,True
AIG,33.476837158203125,71.28937146242895,6996319.047619048,-24.40728329188365,18063299694.223816,True
RF,13.03807258605957,70.69337782771484,10868656.349206349,-2.3755359330229573,11432779403.857574,True
BKR,18.665395736694336,70.56696192317682,7070692.857142857,-13.617185461481343,18418525010.16412,True
PSX,58.07189178466797,70.0904605046503,3803421.0317460317,-33.69759475615466,23398392549.475594,True
SYY,63.977787017822266,69.91640507062978,4060818.6507936507,-11.120432886502854,30636470651.89746,True
WY,27.507909774780273,69.52075501796092,5055525.793650794,16.5704317103079,19829379348.157883,True
LEN,70.28263092041016,68.43672367883816,3516667.3492063493,41.18096820867495,15163754253.513794,True
PRU,60.84428405761719,67.66803192115583,2887096.8253968256,-13.118380640618026,21290727889.72165,True
C,50.9075813293457,67.56959322266269,25050648.015873015,-22.053593248200677,91087212509.1385,True
MAR,125.82537841796875,66.96209976649529,4114673.8095238097,-13.530174601874654,33765466155.016174,True
TFC,37.46927261352539,66.55847495062356,6349668.253968254,-12.73999323585466,47932428766.70569,True
HIG,43.22515106201172,65.21138814510746,2782725.0,-18.98479157835251,12055507252.939178,True
AXP,112.02649688720703,64.38032023404226,5257925.0,-3.7408012827971904,77169637560.55191,True
WMB,15.586697578430176,64.30054147081141,11631308.333333334,-7.80544882903178,19034769157.002144,True
LRCX,45.87199020385742,63.61088320139609,18946186.507936507,65.31082075987152,57616595855.75104,True
GE,52.181026458740234,63.09421015591966,19695763.726190478,-9.77075515444707,55041272598.93826,True
DOW,42.257423400878906,62.13560558599983,5471063.492063492,9.78910835528779,30035198623.28247,True
WFC,26.51421546936035,61.4615845627612,41060119.047619045,-42.425998124807876,81997862760.54382,True
MCHP,61.84965515136719,61.43268858465548,5812878.571428572,28.90776546577609,33426450310.548187,True
CVX,68.99398803710938,61.25704242051363,11212182.936507937,-25.74734796121696,137943378153.3696,True
GM,40.36857604980469,61.23339196482408,15400251.984126983,13.296982245923349,37658282454.07539,True
HCA,155.47543334960938,60.98717310815848,2228431.3492063493,10.689878733917263,35478545490.23743,True
AMD,92.29000091552734,60.97001057214734,61718450.0,87.9633478281475,150251955217.11655,True
MET,39.77574920654297,60.32019879380144,6470909.523809524,-5.749408864639562,26207909263.339783,True
DHI,66.71873474121094,59.49994283804345,4070794.0476190476,34.996304371585715,19421792859.111053,True
AMAT,83.29596710205078,59.09073492073452,8300647.222222222,41.72568891526668,66048984528.12541,True
BAC,26.5693416595459,58.81221667899097,68202924.6031746,-13.625044915948658,191630429389.59793,True
STT,61.32569122314453,58.80392842753631,2593341.6666666665,-7.8452292387012665,17129028204.920319,True
LVS,56.086483001708984,58.80206494998219,6499607.142857143,-15.378763836595594,37922005411.99472,True
CNP,18.82343292236328,58.76763546545154,7018612.301587301,-17.85084512350883,12289222143.954659,True
USB,37.249114990234375,58.67488001130445,8184421.031746032,-18.50666196633101,57901293306.420685,True
O,45.97258758544922,58.370177239587804,2935349.5396825396,-11.816703069949181,42207697694.16836,True
DECK,47.66666793823242,58.3421370030722,2618459.523809524,66.11489264741189,6947170558.324139,True
AFL,39.177978515625,58.23969232060291,4046538.492063492,-15.21486353875862,20533723779.966064,True
NVDA,13.10888671875,58.01792579296324,481999825.3968254,119.53973788748608,318611491699.21875,True
PNC,122.62808227539062,57.79421907654545,2646992.0634920634,-4.595245690076298,48089638794.21774,True
RTX,63.62575149536133,57.650097277834256,10392361.035714285,-23.83654797106255,85307622393.64502,True
MS,57.8346061706543,57.625285098220346,13641010.714285715,34.28145228082361,91917078085.03893,True
MU,70.17211151123047,57.48501913902929,22688590.873015873,29.842926689475107,78979361369.8146,True
F,6.722536087036133,56.606301814788026,76852921.82539682,-4.345221274333629,26309629760.927296,True
KMI,10.142114639282227,56.000494717186285,16108969.841269841,-30.84494801557923,22563774920.314236,True
DXCM,90.69249725341797,55.42273744599417,4955322.222222222,65.36146455437215,35371549677.148315,True
FTNT,29.604000091552734,55.01543339353866,8036599.206349206,34.956231671898486,22014958479.691017,True
JPM,109.60599517822266,54.53487902107075,19272229.365079366,-7.922280622301606,295519684199.5239,True
EMR,71.94348907470703,53.96349792245565,3494837.698412698,6.166936199705743,40453974484.4304,True
CNC,58.91999816894531,53.69260876714883,4433442.857142857,-4.783456444856327,28960239660.003662,True
CI,186.67459106445312,53.58268772177732,2116938.888888889,-0.4138789963165713,49865602464.55835,True
INTC,44.07123565673828,53.516409295506115,31591649.603174604,-17.87937768359626,210219794082.6416,True
SCHW,49.099449157714844,53.45463220500386,11511975.793650793,10.659554926141853,87246616595.08904,True
FE,24.48982810974121,53.07638519389614,6209334.523809524,-33.79948814144859,14146930146.868258,True
CRM,219.73020935058594,53.06028594321322,7529498.015873016,33.181610551433934,205887206161.49902,True
XOM,34.00009536743164,53.013112392877794,28835327.38095238,-36.63994521115869,143384033056.25342,True
QCOM,134.6395263671875,52.916836453782224,9825393.253968254,73.40092844197336,144198932739.2578,True
FDX,236.15660095214844,52.59604652117332,3075817.4603174604,70.1363651504027,55525805032.85742,True
PYPL,230.97604370117188,52.486858799345704,8874096.031746032,109.03837007683074,216113186385.2148,True
GS,230.3916015625,52.37283503481973,3595815.476190476,13.391393787339167,69101010003.5459,True
ETN,109.93546295166016,51.84256072880804,2341219.8412698414,27.422982040999898,42698933810.424805,True
VST,17.527528762817383,51.674756272116795,4106906.3492063493,-12.05887436176824,5938773521.5506935,True
TJX,63.420902252197266,51.65440677333146,8157745.238095238,11.106040270788666,70426825086.27646,True
HLT,108.81573486328125,51.553105778033355,3629324.206349206,-0.9878036005442282,25292603396.358765,True
IR,45.01025390625,51.38908529722519,3374148.015873016,22.668132688871303,17784019199.94873,True
AVGO,39.11762619018555,51.37343486731238,24484650.793650795,41.0378507128982,185467376134.60294,True
DD,26.719684600830078,51.22816142015112,13780945.805555556,13.228298228097374,11194888512.810593,True
EQR,48.26151657104492,50.95350349991029,2712636.111111111,-23.71326435721738,18362287052.405193,True
LOW,146.4444580078125,50.94670587511686,5143131.746031746,35.650201286978735,82148232089.05774,True
CTVA,36.370513916015625,50.83600812424097,4645021.031746032,36.301786354155894,24576720109.49707,True
ADI,133.95535278320312,50.21487388815795,2940360.3174603176,23.88455332601222,65591787305.37576,True
NOW,109.47599792480469,50.0578720951457,9221531.746031746,87.9480769467543,115512831236.23222,True
CMG,27.483400344848633,49.84638654098832,24013293.65079365,60.12422358867997,36340695641.18576,True
NUE,48.97285842895508,49.79498768121544,2312452.777777778,-0.1667731129018825,11207862707.447506,True
TSN,54.65714645385742,49.68135087067769,3057496.8253968256,-27.450845664998504,15470588173.499493,True
NWSA,17.24074363708496,49.40706218002353,2699856.3492063493,26.934224993141864,6396479745.386047,True
INVH,25.321441650390625,49.19304844790907,3940357.1428571427,2.3148634111746826,15522565074.851593,True
FOXA,27.258947372436523,49.15375936554818,4782390.476190476,-20.302740019062824,5679720505.695618,True
DIS,177.00169372558594,49.15192295802917,14657105.952380951,22.24696790190383,315999149531.3967,True
MA,345.10540771484375,49.08801338040952,4706108.333333333,17.82420788313867,307578018623.4058,True
ANET,18.059999465942383,49.04377027106468,12336666.666666666,41.14888126810733,22742687691.669216,True
BK,36.08877944946289,48.86164229154998,5763422.619047619,-15.437331452664624,24837597213.180542,True
ECL,203.79086303710938,48.71426943449698,2014084.9206349207,14.216089597237119,57720838167.74924,True
CB,141.57261657714844,48.41906648825078,2273955.1587301586,-0.1317604601078281,55716024864.81441,True
PAYX,80.01573944091797,48.410085012114806,2106462.301587302,11.924862658149364,28723045946.97075,True
UNH,317.9902648925781,48.20020667324741,4037694.0476190476,19.886360040890597,288047862723.7274,True
ADBE,497.45001220703125,48.086944874088225,3079301.984126984,48.74563379525965,208232575109.86328,True
SRE,53.6436882019043,47.09931618089813,3399715.0793650793,-12.506287161448332,35012244007.668655,True
PPL,22.758756637573242,46.98145178099536,5508847.222222222,-17.612334360105734,16835543904.621717,True
ETR,41.0141716003418,46.95857062499819,2755807.9365079366,-13.414823888111755,18316802056.83737,True
AAPL,130.1700439453125,46.78090401300806,157796583.33333334,79.62352188121147,1913229673324.9512,True
TAP,39.37529373168945,46.29282763131399,2393065.476190476,-14.530392312403182,7296158255.982876,True
PLD,85.90471649169922,46.27882676731501,3469792.4603174604,14.725696462442746,79794056293.49518,True
NFLX,52.45899963378906,46.272168198148066,69400182.53968254,59.05824940308967,222285743541.30585,True
NEM,51.571266174316406,46.265720560147,7904334.126984127,42.20842540154997,56277813659.32899,True
SO,50.16514587402344,46.118863131704565,4775233.333333333,0.9967739842043885,55237085071.688675,True
CSX,28.15171241760254,46.09244185476894,13323698.80952381,25.06324293769896,52422344067.50179,True
CAH,46.97507095336914,46.036778559230186,2528888.095238095,10.017309038616649,11161043956.118721,True
MCK,168.33428955078125,45.83830102894423,2229836.111111111,26.35704942742802,20776937439.382935,True
ISRG,271.76666259765625,45.72417362631993,2171648.8095238097,36.50670971808515,96340214663.18512,True
SBUX,94.68514251708984,45.65008779726663,9658915.476190476,21.047115690164073,107666475556.18286,True
HON,179.54457092285156,45.40422134830864,3695743.476190476,19.404258989593533,113990551344.76721,True
EIX,48.712989807128906,45.33068948103374,2402655.9523809524,-13.216841989946465,18744127936.84314,True
D,59.44599151611328,45.03647926018273,4133473.8095238097,-5.802476441718244,50761721420.03849,True
CAT,163.71128845214844,44.99884088314346,3886261.111111111,23.207032814187905,76613542630.47589,True
NI,19.029882431030273,44.95459815958373,3351848.015873016,-14.290268537381277,9005559389.409124,True
ADP,156.67538452148438,44.66131737337196,2250287.698412698,4.53124083762811,63367162485.4314,True
BSX,35.54999923706055,44.49736749412898,10991698.80952381,-21.575120668303292,52700813355.43648,True
EW,89.63999938964844,44.36265887997046,3446259.523809524,15.664515341481856,52018091645.81299,True
YUM,99.76652526855469,44.282316509528776,2157134.126984127,9.246550737171637,27700457980.314194,True
MSFT,212.7107391357422,44.02678343512974,37725931.746031746,39.47724639263171,1580946544531.0242,True
AMT,190.25997924804688,43.98188420304391,2080276.5873015872,-1.7445652053999177,89069566777.02322,True
HD,234.8429412841797,43.68687003880878,4751841.666666667,23.608467110208274,233788845219.58154,True
DLR,116.36260223388672,43.518018106696246,2296255.5555555555,21.13080618623398,39970734462.098755,True
KHC,27.48136329650879,43.2891770737968,7177860.317460317,15.686513025517895,32528468984.43846,True
TXN,141.15126037597656,43.258027055812306,5169659.523809524,29.264122878547266,128253284479.62616,True
STX,51.48563766479492,43.11156346805348,3004315.873015873,5.600285113276585,11217281629.528633,True
ALL,95.63359069824219,43.04873669149502,2054909.5238095238,-2.0563432358253104,25025561356.08893,True
V,210.58372497558594,42.82649570276219,9746618.253968254,14.956096028318179,354996191020.95825,True
CCI,124.05680084228516,42.80578511622056,2174230.9523809524,13.836765463417722,54024132814.565506,True
LLY,158.4889373779297,42.7434900069338,3946586.111111111,28.85481673255445,141850571730.24548,True
ORLY,30.1200008392334,42.13004283299562,10151047.61904762,3.263856265635185,25424415959.440346,True
UNP,184.17088317871094,42.024891523653544,3455430.1587301586,15.424595649375675,109242964794.19933,True
CSCO,38.176109313964844,42.01524036604673,25068138.492063493,-5.673561599381087,150837417946.90015,True
NEE,66.79895782470703,41.66029736619101,9269095.238095239,29.87237817149422,139116156446.84244,True
NKE,131.84356689453125,41.64911100277543,7399666.26984127,39.8525110772884,157091036435.318,True
DUK,74.44337463378906,41.48994060427062,3714948.8095238097,4.625139541225017,57891725836.402954,True
MDT,100.30601501464844,41.36308295326283,5563183.73015873,3.3339605376854715,128593736396.64062,True
UPS,135.22608947753906,41.34014775814839,4489636.111111111,47.06699554451663,99930735165.21542,True
ED,59.36249542236328,41.189057292970894,2317893.6507936507,-16.95114344315488,21426038377.667908,True
APH,30.996845245361328,40.99451742957555,6366855.555555556,20.110688288936018,37941859153.208145,True
TMUS,128.7626190185547,40.88754593143185,5396205.158730159,69.5890575037335,144021842553.36703,True
ORCL,59.91044998168945,40.728570435343606,13122127.777777778,21.469860361014998,172130511155.89142,True
PEG,48.51127243041992,40.55864191973116,2763896.8253968256,1.29909927247828,24214594514.463287,True
MCD,188.73291015625,40.17327301332718,3889830.5555555555,7.992537402046416,134406962955.93262,True
CVS,57.61779022216797,39.641371787181775,8726850.396825397,-5.739937185162108,73141894621.9354,True
ABT,99.07516479492188,39.369441367149435,6718530.158730159,26.681562292578864,172279024706.29166,True
PM,63.9712028503418,39.23179059914234,5419646.825396826,1.9299298961011302,99580053176.9813,True
ZTS,157.0507354736328,39.17183363232717,2027111.507936508,23.16317730475407,69211193376.93906,True
LIN,244.3026580810547,39.11369481222746,2106488.492063492,26.32941777251263,114076864787.10434,True
XEL,56.017616271972656,39.10804241285579,3079291.26984127,8.00851377066659,33136648013.52381,True
FAST,21.744285583496094,39.07045766840485,8484137.301587302,36.24134850428741,24963216577.478844,True
CMS,51.39420700073242,38.81581416448352,2031563.492063492,-0.31700574331983183,15640272996.824245,True
AEP,67.87315368652344,38.57332573877305,3145892.8571428573,-9.93259627306806,36250680117.8215,True
AMZN,164.29249572753906,38.57137510697255,98776468.25396825,73.12079511219653,1756322268313.6873,True
GOOGL,86.16149139404297,38.55150504236666,40028047.61904762,26.855812446728542,501287556930.542,True
AMGN,194.07818603515625,38.44322701385968,2806983.73015873,-2.770070100662968,104507351842.67377,True
GOOG,86.32852172851562,38.40933737492691,37903428.571428575,27.216479962979314,466778316986.084,True
CMCSA,41.2559928894043,38.28149377661786,22709164.682539683,15.402425401184413,149942848720.17453,True
TGT,151.34188842773438,37.57286511148018,4857036.111111111,40.7120082875068,68528578392.318054,True
GILD,46.7547492980957,37.52971420337678,13716300.793650793,-9.626410889475691,58007664732.620895,True
MMM,121.08012390136719,37.47136574847056,3998323.8928571427,0.32946436863241274,64320794631.34973,True
BAX,71.17357635498047,37.05647845355211,3132088.888888889,-6.719354823227132,36587190087.88845,True
PGR,82.99909973144531,37.0092475036582,3023130.9523809524,35.741957895237256,48654072262.57324,True
PEP,126.25836944580078,36.65818500560575,5060782.936507937,11.6204410322593,172638134281.5423,True
EA,138.29840087890625,36.48926149525346,2959463.095238095,32.51287221675823,34589277690.71344,True
MO,27.594945907592773,36.42639932845449,9867857.53968254,-9.585261566068596,46322850674.05481,True
MMC,106.82247161865234,36.4113413864875,2124823.9166666665,4.43941363279509,52333363207.97047,True
PCAR,47.52596664428711,36.3448099450132,2795744.0476190476,10.636138077528301,24960844847.268192,True
PFE,28.788097381591797,35.86487490577219,33885358.1984127,2.9786058774938873,163680702690.2279,True
T,15.195931434631348,35.75812878840928,52669548.02380952,-19.953118530513443,107730788435.30183,True
ABBV,86.62451934814453,34.96231107328696,9462549.603174603,24.062232774010376,153098844250.2973,True
WM,108.08051300048828,34.84974224550417,2098631.746031746,4.330860043836208,43542077543.073875,True
KO,46.837337493896484,34.747360377203876,17034414.682539683,2.387638692620611,201475905239.99524,True
MDLZ,51.14352035522461,34.14910277306534,6979584.523809524,9.197387857174972,65993475801.13893,True
CAG,28.843894958496094,33.868778796931785,3686806.3492063493,10.273688613373542,13798038888.250923,True
DHR,191.39076232910156,33.63764185411182,3172699.634920635,42.86400123558203,135188781333.39775,True
PG,121.56938934326172,32.55153139200043,8016309.126984127,14.393244985226977,284075270609.8427,True
CPB,39.859371185302734,32.3205046548118,2412821.8253968256,1.9484357602293878,11883443534.504986,True
KR,28.360551834106445,32.078397828277936,10120848.412698412,12.435119030425264,17947951405.350723,True
MRK,65.61144256591797,31.914592974980057,10781255.099206349,-9.660135485273196,162849079068.07806,True
CL,75.31930541992188,31.853467837417863,4134142.8571428573,27.34056811895101,60712251554.78961,True
K,48.36506652832031,31.700350764054452,2331768.242063492,-5.539183700655769,16827784748.95839,True
WMT,44.902645111083984,31.622443661793763,27220890.476190478,23.244371478738675,357881578660.5777,True
GIS,48.58346176147461,30.86818437717429,3976517.8571428573,16.23612322804402,25923264628.871548,True
JNJ,135.38723754882812,30.378484025279008,8054418.650793651,9.811868138450704,326187808299.7021,True
HRL,39.5654411315918,30.242733972068237,2224358.73015873,6.9005273062731005,21765237796.381702,True
BMY,50.37321090698242,29.73437444200389,13192633.333333334,0.06617763067259297,102547416583.59888,True
COST,354.2953186035156,29.237721571425684,2759551.587301587,32.94506750631056,157260854388.59982,True
